timestamp,heel_fsr,toe_fsr,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
12135,0,0,0.74,9.34,-1.96,0.02,-0.13,-0.01
12188,0,0,0.77,9.32,-1.95,0.02,-0.13,-0.01
12241,0,0,0.76,9.34,-1.98,0.02,-0.13,-0.01
12294,0,0,0.74,9.34,-1.95,0.02,-0.13,-0.01
12347,0,0,0.76,9.32,-1.97,0.02,-0.13,-0.01
12400,0,0,0.73,9.31,-1.98,0.02,-0.12,-0.01
12453,0,0,0.82,9.32,-1.94,0.02,-0.12,-0.01
12506,0,0,0.82,9.30,-1.98,0.02,-0.13,-0.01
12559,0,0,0.67,9.35,-1.97,0.02,-0.12,-0.01
12612,0,0,0.65,9.31,-1.95,0.02,-0.13,-0.01
12665,0,0,0.78,9.32,-1.94,0.02,-0.12,-0.01
12718,0,0,0.70,9.23,-2.07,0.01,-0.12,-0.01
12771,0,0,0.66,9.37,-1.93,0.02,-0.13,-0.01
12824,0,0,0.77,9.33,-1.92,0.02,-0.13,-0.01
12877,0,0,0.75,9.31,-2.05,0.02,-0.13,-0.01
12930,0,0,0.74,9.34,-2.00,0.02,-0.13,-0.01
12983,0,0,0.76,9.32,-1.96,0.02,-0.12,-0.01
13036,0,0,0.74,9.31,-1.98,0.02,-0.12,-0.01
13089,0,0,0.78,9.31,-1.99,0.02,-0.12,-0.01
13142,0,0,0.79,9.34,-1.91,0.02,-0.12,-0.01
13195,0,0,0.75,9.31,-1.99,0.02,-0.13,-0.01
13248,0,0,0.73,9.32,-2.02,0.02,-0.13,-0.01
13301,0,0,0.74,9.33,-1.98,0.02,-0.12,-0.01
13354,0,0,0.77,9.34,-2.00,0.02,-0.13,-0.01
13407,0,0,0.74,9.33,-1.99,0.02,-0.13,-0.01
13460,0,0,0.75,9.30,-1.96,0.02,-0.13,-0.01
13513,0,0,0.75,9.31,-2.03,0.02,-0.13,-0.01
13566,0,0,0.84,9.30,-1.98,0.03,-0.14,-0.02
13619,0,0,0.80,9.33,-1.98,0.02,-0.13,-0.01
13672,0,0,0.79,9.33,-2.01,0.02,-0.12,-0.01
13725,0,0,0.76,9.31,-2.00,0.02,-0.12,-0.01
13778,0,0,0.76,9.32,-1.96,0.02,-0.12,-0.01
13831,0,0,0.75,9.33,-1.98,0.02,-0.12,-0.01
13884,0,0,0.76,9.36,-1.96,0.02,-0.13,-0.01
13937,0,0,0.75,9.34,-1.98,0.02,-0.13,-0.01
13990,0,0,0.76,9.34,-1.98,0.02,-0.13,-0.01
14043,0,0,0.75,9.31,-1.98,0.02,-0.13,-0.01
14096,0,0,0.74,9.33,-2.00,0.02,-0.13,-0.01
14149,0,0,0.76,9.31,-1.97,0.02,-0.13,-0.01
14202,0,0,0.76,9.33,-1.97,0.02,-0.12,-0.01
14255,0,0,0.74,9.32,-1.98,0.02,-0.12,-0.01
14308,0,0,0.73,9.32,-1.98,0.02,-0.12,-0.01
14361,0,0,0.74,9.34,-1.98,0.02,-0.12,-0.01
14414,0,0,0.75,9.32,-2.00,0.02,-0.12,-0.01
14467,0,0,0.73,9.32,-1.96,0.02,-0.13,-0.01
14520,0,0,0.74,9.32,-1.98,0.02,-0.13,-0.01
14573,0,0,0.74,9.33,-2.01,0.02,-0.13,-0.01
14626,0,0,0.77,9.32,-1.98,0.02,-0.12,-0.01
14679,0,0,0.74,9.32,-1.98,0.02,-0.13,-0.01
14732,0,0,0.75,9.33,-1.98,0.02,-0.13,-0.01
14785,0,0,0.77,9.31,-2.00,0.02,-0.13,-0.01
14838,0,0,0.74,9.32,-2.01,0.02,-0.12,-0.01
14891,0,0,0.72,9.31,-1.98,0.02,-0.12,-0.02
14944,0,0,0.79,9.32,-1.99,0.02,-0.12,-0.02
14997,0,0,0.78,9.34,-1.95,0.02,-0.13,-0.01
15050,0,0,0.75,9.34,-1.99,0.02,-0.13,-0.01
15103,0,0,0.74,9.32,-2.03,0.02,-0.13,-0.01
15156,0,0,0.75,9.32,-1.98,0.02,-0.12,-0.01
15209,0,0,0.75,9.32,-2.00,0.02,-0.12,-0.01
15262,0,0,0.75,9.32,-2.03,0.02,-0.12,-0.01
15315,0,0,0.72,9.33,-1.94,0.02,-0.12,-0.01
15368,0,0,0.74,9.31,-1.99,0.02,-0.13,-0.01
15421,0,0,0.74,9.32,-2.01,0.02,-0.13,-0.01
15474,0,0,0.74,9.30,-2.00,0.02,-0.13,-0.01
15527,0,0,-1.73,11.14,-1.89,-0.96,1.08,-1.50
15580,0,0,0.13,10.36,-1.04,0.51,0.25,1.91
15633,0,0,2.48,14.79,-1.43,0.55,0.88,-1.36
15686,0,0,-0.25,7.11,-1.41,1.20,1.76,0.75
15739,0,0,-0.01,9.25,-3.11,1.95,1.01,1.66
15792,0,0,4.59,9.00,-2.67,4.01,-0.10,8.73
15845,0,0,5.74,6.16,-5.09,1.47,0.28,2.23
15898,0,0,5.59,5.37,-5.54,1.17,0.51,1.37
15951,0,0,5.78,3.20,-4.86,-0.19,0.42,0.86
16004,0,0,5.71,5.67,-5.46,-0.00,-0.21,-0.78
16057,0,0,5.31,4.67,-5.39,-0.15,-0.21,0.49
16110,0,0,6.24,5.20,-5.72,-0.89,0.34,0.07
16163,0,0,6.66,5.20,-4.24,-0.29,0.08,-0.40
16216,0,0,5.97,5.80,-5.63,-0.62,0.21,-0.68
16269,0,0,6.02,5.78,-4.67,-0.72,0.10,-0.95
16322,0,0,5.57,6.24,-3.69,-1.09,-0.19,-0.93
16375,0,0,4.73,8.09,-3.69,-2.44,-0.87,-0.87
16428,0,0,3.90,8.14,-2.38,-1.54,-0.92,-1.25
16481,0,0,3.77,8.46,-2.68,-1.47,-0.92,-1.47
16534,0,0,2.10,9.39,-1.78,-0.67,-0.42,-1.97
16587,0,0,1.23,10.53,-1.91,-0.17,0.10,-1.48
16640,0,0,2.05,10.23,-2.89,1.12,-0.49,-4.72
16693,0,0,-2.94,8.02,-3.11,1.83,-0.81,-4.05
16746,0,0,-2.71,8.19,-2.80,0.65,0.58,0.81
16799,0,0,-2.63,8.34,-3.39,0.34,0.30,-0.44
16852,0,0,-2.40,7.63,-3.50,0.44,-0.30,-0.97
16905,0,0,-2.78,9.03,-3.70,0.77,-0.31,1.75
16958,0,0,-3.22,8.73,-3.46,0.03,1.12,2.43
17011,0,0,-0.58,7.42,-4.64,1.74,0.24,1.60
17064,0,0,-0.62,7.75,-3.92,0.85,0.84,0.87
17117,0,0,-0.79,7.31,-4.59,1.12,1.06,0.32
17170,0,0,3.99,7.20,-4.20,-0.01,2.13,3.41
17223,0,0,4.02,6.89,-4.49,0.59,2.35,5.26
17276,0,0,6.72,6.58,-4.97,0.62,0.67,0.33
17329,0,0,6.11,5.28,-4.80,1.39,1.65,3.16
17382,0,0,6.47,2.90,-6.23,2.51,0.92,2.38
17435,0,0,7.25,2.38,-5.30,2.68,0.34,-0.39
17488,0,0,8.48,1.16,-5.08,3.25,-0.24,-0.01
17541,0,0,7.43,0.81,-5.80,1.46,-0.85,-0.53
17594,0,0,6.28,0.63,-6.96,-0.37,-1.15,1.12
17647,0,0,6.40,1.11,-6.64,0.07,-0.36,1.85
17700,0,0,7.66,-0.76,-6.57,-0.24,-0.49,0.97
17753,0,0,6.75,-0.96,-7.33,-0.12,0.04,0.53
17806,0,0,6.61,-0.88,-6.36,-0.63,0.13,-0.09
17859,0,0,7.48,0.78,-6.65,-0.53,0.50,-0.54
17912,0,0,7.31,0.57,-6.63,0.28,0.61,-0.18
17965,0,0,8.03,0.48,-5.82,0.41,0.30,-0.90
18018,0,0,8.40,0.47,-4.71,0.03,0.44,-1.27
18071,0,0,7.84,1.18,-6.52,0.08,0.00,-1.32
18124,0,0,8.16,1.33,-4.69,-0.27,0.08,-0.51
18177,0,0,8.09,2.01,-5.34,-0.25,-0.23,-0.22
18230,0,0,7.26,2.26,-5.68,-0.53,-0.05,0.13
18283,0,0,8.20,2.09,-5.05,-0.19,0.04,-0.47
18336,0,0,7.93,2.53,-5.35,-0.36,-0.00,-0.34
18389,0,0,7.80,2.67,-4.96,-0.72,-0.35,-0.49
18442,0,0,7.25,3.36,-4.67,-0.42,-0.56,-1.44
18495,0,0,7.03,3.79,-4.99,-0.38,-0.39,-0.39
18548,0,0,6.96,4.24,-5.42,-0.39,-0.28,0.12
18601,0,0,7.45,3.99,-4.82,0.01,-0.07,0.34
18654,0,0,7.17,3.70,-5.41,0.62,-0.01,0.98
18707,0,0,7.11,3.54,-5.28,0.09,-0.22,0.02
18760,0,0,7.42,3.47,-5.28,0.30,-0.23,-0.50
18813,0,0,7.13,3.50,-5.59,-0.23,-0.28,-0.29
18866,0,0,6.86,4.02,-4.98,-1.42,-0.30,-1.32
18919,0,0,6.74,5.49,-4.83,-2.31,-0.58,-0.24
18972,0,0,6.64,5.35,-3.90,-2.47,-0.79,-0.88
19025,0,0,6.12,6.11,-3.59,-1.57,-1.10,-1.40
19078,0,0,5.78,6.73,-3.00,-2.04,-0.01,-1.50
19131,0,0,4.33,8.73,-2.94,-1.15,-0.70,-0.31
19184,0,0,4.12,8.75,-2.77,-0.52,-1.05,-0.86
19237,0,0,2.81,8.51,-2.49,-0.93,-0.71,-1.39
19290,0,0,2.52,9.24,-2.13,-0.71,-1.22,-0.94
19343,0,0,1.82,9.12,-1.65,-0.48,-0.63,-0.25
19396,0,0,1.67,9.81,-1.53,-0.61,-0.50,-0.01
19449,0,0,1.16,9.33,-1.32,-0.43,-0.27,0.33
19502,0,0,2.05,9.28,-1.14,-0.03,-0.17,-0.11
19555,0,0,2.07,9.58,-1.35,0.27,-0.29,0.31
19608,0,0,1.78,9.62,-1.86,1.61,0.06,0.57
19661,0,0,2.04,9.45,-2.58,2.41,-0.33,0.91
19714,0,0,3.94,7.31,-4.06,4.14,-0.19,1.42
19767,0,0,3.95,6.29,-6.18,3.36,-0.22,1.51
19820,0,0,4.48,3.96,-6.29,3.84,-0.06,2.23
19873,0,0,4.68,3.24,-7.59,1.97,0.04,0.89
19926,0,0,5.02,2.00,-7.29,1.64,-0.39,-0.32
19979,0,0,4.81,1.93,-7.64,-0.20,-0.24,-0.11
20032,0,0,4.66,2.36,-7.55,-1.73,-0.63,-0.80
20085,0,0,3.66,4.10,-7.82,-3.04,-0.85,-2.17
20138,0,0,2.23,4.96,-5.50,-1.03,0.05,-0.99
20191,0,0,6.96,-1.54,-9.26,0.12,1.22,2.14
20244,0,0,3.49,7.17,-6.64,-0.17,0.23,0.37
20297,0,0,3.90,5.69,-6.10,-0.28,-0.12,0.73
20350,0,0,3.99,6.73,-6.20,-0.43,-0.41,0.06
20403,0,0,3.24,6.09,-5.81,-0.17,-0.32,0.02
20456,0,0,3.39,6.28,-6.27,-0.14,-0.14,-0.14
20509,0,0,4.10,6.90,-5.97,-0.05,-0.41,1.47
20562,0,0,3.86,5.43,-5.78,-0.38,0.16,-1.98
20615,0,0,3.86,6.31,-5.77,-0.29,-0.10,-0.27
20668,0,0,3.57,6.69,-5.80,-0.23,-0.33,-0.82
20721,0,0,3.29,6.76,-5.63,0.10,0.24,-1.11
20774,0,0,3.36,7.09,-5.87,0.35,-0.39,-0.68
20827,0,0,2.24,6.55,-6.43,0.14,-0.45,-0.54
20880,0,0,3.04,6.58,-5.46,-0.13,-0.24,-0.06
20933,0,0,2.57,7.03,-5.49,-0.03,-0.52,-0.41
20986,0,0,1.34,6.79,-5.50,-0.31,-0.67,-1.34
21039,0,0,0.70,7.47,-6.14,-0.06,-0.41,-0.35
21092,0,0,1.61,7.68,-5.63,-0.58,-0.63,-1.61
21145,0,0,-0.57,7.55,-5.67,-0.57,-0.91,-2.18
21198,0,0,-1.75,6.64,-4.64,-0.97,-1.21,-3.08
21251,0,0,-4.15,7.36,-4.71,-0.46,-0.76,-1.02
